Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,22–26°C,45,5,45,0,100,0.7,70,21,16,1,6,1,0
1.66,Seedling,22–26°C,45,5,45,0,104.55,0.7,70,21,16,1,6,1,0
2.32,Seedling,22–26°C,45,5,45,0,109.09,0.7,70,21,16,1,6,1,0
2.98,Seedling,22–26°C,45,5,45,0,113.63,0.7,70,21,16,1,6,1,0
3.64,Seedling,22–26°C,45,5,45,0,118.18,0.7,70,21,16,1,6,1,0
4.3,Seedling,22–26°C,45,5,45,0,122.73,0.7,70,21,16,1,6,1,0
4.95,Seedling,22–26°C,45,5,45,0,127.28,0.7,70,21,16,1,6,1,0
5.61,Seedling,22–26°C,41.93,5,41.93,3.07,131.82,0.7,70,21,16,1,6,1,0
6.27,Juvenile,22–26°C,40,5,40,5,136.36,0.7,70,21,16,1,6,1,0
6.93,Juvenile,22–26°C,40,5,40,5,140.91,0.7,70,21,16,1,6,1,0
7.59,Juvenile,22–26°C,40,5,40,5,145.46,0.7,70,21,16,1,6,1,0
8.25,Juvenile,22–26°C,40,5,40,5,150,1.1,65,21,16,1,6,1,0
8.91,Juvenile,22–26°C,40,5,40,5,154.54,1.1,65,21,16,1,6,1,0
9.57,Juvenile,22–26°C,40,6.14,40,5,159.09,1.1,65,21,16,1,6,1,0
10.23,Juvenile,22–26°C,40,7,40,5,163.64,1.1,65,21,16,1,6,1,0
10.89,Juvenile,22–26°C,40,7,40,5,168.19,1.1,65,21,16,1,6,1,0
11.55,Juvenile,22–26°C,40,7,40,5,172.73,1.1,65,21,16,1,6,1,0
12.2,Juvenile,22–26°C,40,7,40,5,177.27,1.1,65,21,16,1,6,1,0
12.86,Juvenile,22–26°C,40,7,40,5,181.82,1.1,65,21,16,1,6,1,0
13.52,Juvenile,22–26°C,40,7,40,5,186.37,1.1,65,21,16,1,6,1,0
14.18,Juvenile,22–26°C,40,7,40,5,190.91,1.1,65,21,16,1,6,1,0
14.84,Juvenile,22–26°C,40,7,40,5,195.45,1.1,65,21,16,1,6,1,0
15.5,Growth,22–26°C,37.5,7,45,5,200,1.1,65,21,16,1.5,6,1,0
16.16,Growth,22–26°C,35,7,50,5,204.55,1.1,65,21,16,1.5,6,1,0
16.82,Growth,22–26°C,35,7,50,5,209.09,1.1,65,21,16,1.5,6,1,0
17.48,Growth,22–26°C,35,7,50,5,213.63,1.1,65,21,16,1.5,6,1,0
18.14,Growth,22–26°C,35,7,50,5,218.18,1.1,65,21,16,1.5,6,1,0
18.8,Growth,22–26°C,35,7,50,5,222.73,1.1,65,21,16,1.5,6,1,0
19.45,Growth,22–26°C,35,7,50,5,227.27,1.1,65,21,16,1.5,6,1,0
20.11,Growth,22–26°C,35,7,50,5,231.81,1.1,65,21,16,1.5,6,1,0
20.77,Growth,22–26°C,35,7,50,5,236.36,1.1,65,21,16,1.5,6,1,0
21.43,Growth,22–26°C,35,7,50,5,240.91,1.1,65,21,16,1.5,6,1,0
22.09,Growth,22–26°C,35,7,50,5,245.46,1.1,65,21,16,1.5,6,1,0
22.75,Growth,22–26°C,35,7,50,5,250,1.1,65,21,16,1.5,6,1,0
23.41,Growth,22–26°C,35,7,50,5,254.54,1.1,65,21,16,1.5,6,1,0
24.07,Growth,22–26°C,35.34,7.2,49.66,5,259.09,1.1,65,21,16,1.5,6,1,0
24.73,Late Growth,22–26°C,38.64,9.18,46.36,5,263.64,1.1,65,21,16,1.5,6,1,0
25.39,Late Growth,22–26°C,40,10,45,5,268.18,1.1,65,21,16,1.5,6,1,0
26.05,Late Growth,22–26°C,40,10,45,5,272.72,1.1,65,21,16,1.5,6,1,0
26.7,Late Growth,22–26°C,40,10,45,5,277.27,1.1,65,21,16,1.5,6,1,0
27.36,Late Growth,22–26°C,40,10,45,5,281.82,1.1,65,21,16,1.5,6,1,0
28.02,Late Growth,22–26°C,40,10,45,5,286.37,1.1,65,21,16,1.5,6,1,0
28.68,Late Growth,22–26°C,40,10,45,5,290.91,1.1,65,21,16,1.5,6,1,0
29.34,Late Growth,22–26°C,40,10,45,5,295.45,1.1,65,21,16,1.5,6,1,0
30,Late Growth,22–26°C,40,10,45,5,300,1.1,65,21,16,1.5,6,1,0
